n_runs,id,n,p,i,cols,wlp,clear_2fi
64,25-19.5,25,19,5,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49","442,0,5376",0
64,26-20.1,26,20,1,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,44,49,50,52,56","515,0,7062",0
64,26-20.2,26,20,2,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,49,52,56,62","515,7063",0
64,26-20.3,26,20,3,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,49,50,52","516,0,7052",0
64,26-20.4,26,20,4,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50","518,0,7032",0
64,27-21.1,27,21,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,49,50,52,56","605,0,9075",0
64,27-21.2,27,21,2,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52","606,0,9064",0
64,28-22.1,28,22,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,56","706,0,11548",0
64,28-22.2,28,22,2,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55","707,0,11536",0
64,29-23.1,29,23,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56","819,0,14560",0
64,30-24.1,30,24,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56,59","945,0,18200",0
64,31-25.1,31,25,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56,59,61","1085,0,22568",0
64,32-26.1,32,26,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56,59,61,62","1240,0,27776",0
